No errors
Max results hit (1000): not all possible results returned; 
96 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KANK 270055Z AUTO 20009G15KT 10SM CLR 15/M13 A3021 RMK AO1 T01501129,KANK,2019-03-27T00:55:00Z,38.53,-106.05,15.0,-12.9,200,9,15,10.0,30.209646,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,2293.0
K1S5 270055Z AUTO 14004KT 10SM CLR 14/00 A2999 RMK AO2 T01401003,K1S5,2019-03-27T00:55:00Z,46.33,-119.97,14.0,-0.3,140,4,,10.0,29.991142,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,234.0
K1P1 270055Z AUTO 00000KT 10SM CLR M01/M17 A3033 RMK AO2 T10091175,K1P1,2019-03-27T00:55:00Z,43.78,-71.75,-0.9,-17.5,0,0,,10.0,30.33071,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,154.0
KAMN 270055Z AUTO 00000KT 10SM CLR 03/M07 A3039 RMK AO2 T00321074,KAMN,2019-03-27T00:55:00Z,43.32,-84.68,3.2,-7.4,0,0,,10.0,30.389763,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,230.0
KBJI 270055Z AUTO 18009KT 10SM OVC019 03/M02 A3007 RMK AO2 T00281025,KBJI,2019-03-27T00:55:00Z,47.5,-94.92,2.8,-2.5,180,9,,10.0,30.070866,,,TRUE,TRUE,,,,,,,OVC,1900,,,,,,,MVFR,,,,,,,,,,,,METAR,420.0
KBFW 270055Z AUTO 22005KT 10SM OVC046 06/M05 A2992 RMK AO2,KBFW,2019-03-27T00:55:00Z,47.25,-91.4,6.0,-5.0,220,5,,10.0,29.920275,,,TRUE,TRUE,,,,,,,OVC,4600,,,,,,,VFR,,,,,,,,,,,,METAR,331.0
KBDU 270055Z AUTO 00000KT 10SM CLR 17/M05 A2999 RMK AO2,KBDU,2019-03-27T00:55:00Z,40.03,-105.23,17.0,-5.0,0,0,,10.0,29.991142,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1612.0
KBDH 270055Z AUTO 14010KT 10SM OVC032 07/04 A3014 RMK AO2,KBDH,2019-03-27T00:55:00Z,45.12,-95.13,7.0,4.0,140,10,,10.0,30.138779,,,TRUE,TRUE,,,,,,,OVC,3200,,,,,,,VFR,,,,,,,,,,,,METAR,247.0
KBAX 270055Z AUTO 14004KT 10SM CLR 00/M06 A3040 RMK AO2 T10011064,KBAX,2019-03-27T00:55:00Z,43.78,-82.98,-0.1,-6.4,140,4,,10.0,30.398623,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,234.0
KAXV 270055Z AUTO 05004KT 10SM CLR 02/M07 A3038 RMK AO2,KAXV,2019-03-27T00:55:00Z,40.5,-84.3,2.0,-7.0,50,4,,10.0,30.380905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,279.0
KFSE 270055Z AUTO 17009KT 10SM OVC016 01/M02 A3006 RMK AO2,KFSE,2019-03-27T00:55:00Z,47.58,-95.77,1.0,-2.0,170,9,,10.0,30.059055,,,TRUE,TRUE,,,,,,,OVC,1600,,,,,,,MVFR,,,,,,,,,,,,METAR,389.0
KFPK 270055Z AUTO 01003KT 10SM CLR 03/M09 A3038 RMK AO2 T00281088,KFPK,2019-03-27T00:55:00Z,42.57,-84.82,2.8,-8.8,10,3,,10.0,30.380905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,272.0
KFKS 270055Z AUTO 00000KT 10SM CLR 02/M11 A3035 RMK AO2 T00211109,KFKS,2019-03-27T00:55:00Z,44.63,-86.2,2.1,-10.9,0,0,,10.0,30.351377,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,193.0
KFSO 270055Z AUTO 00000KT 10SM CLR M03/M15 A3039 RMK AO2 T10351147,KFSO,2019-03-27T00:55:00Z,44.93,-73.1,-3.5,-14.7,0,0,,10.0,30.389763,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,70.0
KACQ 270055Z AUTO 15005KT 10SM OVC034 07/02 A3021 RMK AO2,KACQ,2019-03-27T00:55:00Z,44.07,-93.55,7.0,2.0,150,5,,10.0,30.209646,,,TRUE,TRUE,,,,,,,OVC,3400,,,,,,,VFR,,,,,,,,,,,,METAR,343.0
KACB 270055Z AUTO 00000KT 10SM CLR 00/M09 A3036 RMK AO2 T10011088,KACB,2019-03-27T00:55:00Z,44.98,-85.2,-0.1,-8.8,0,0,,10.0,30.360237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,190.0
K9MN 270055Z AUTO 15006KT 10SM SCT040 07/00 A3024 RMK AO1 T00721002,K9MN,2019-03-27T00:55:00Z,44.02,-92.48,7.2,-0.2,150,6,,10.0,30.239174,,,TRUE,TRUE,,,,,,,SCT,4000,,,,,,,VFR,,,,,,,,,,,,METAR,355.0
KGHW 270055Z AUTO 15005KT 10SM BKN019 05/03 A3011 RMK AO2,KGHW,2019-03-27T00:55:00Z,45.63,-95.32,5.0,3.0,150,5,,10.0,30.109253,,,TRUE,TRUE,,,,,,,BKN,1900,,,,,,,MVFR,,,,,,,,,,,,METAR,425.0
KGDB 270055Z AUTO 13010KT 7SM CLR 08/05 A3012 RMK AO2 T00750053,KGDB,2019-03-27T00:55:00Z,44.75,-95.55,7.5,5.3,130,10,,7.0,30.121063,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,319.0
KHEQ 270055Z AUTO 14009KT 10SM CLR 16/05 A3001 RMK AO2,KHEQ,2019-03-27T00:55:00Z,40.57,-102.28,16.0,5.0,140,9,,10.0,30.008858,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,1137.0
KHAI 270055Z AUTO 00000KT 10SM CLR 04/M12 A3038 RMK AO2 T00351119,KHAI,2019-03-27T00:55:00Z,41.97,-85.6,3.5,-11.9,0,0,,10.0,30.380905,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,251.0
KHAF 270055Z AUTO 17005KT 9SM OVC060 14/09 A2994 RMK AO2,KHAF,2019-03-27T00:55:00Z,37.52,-122.5,14.0,9.0,170,5,,9.0,29.940945,,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,21.0
KGYL 270055Z AUTO 15006KT 10SM OVC030 08/05 A3017 RMK AO2 T00800045,KGYL,2019-03-27T00:55:00Z,44.77,-94.08,8.0,4.5,150,6,,10.0,30.171259,,,TRUE,TRUE,,,,,,,OVC,3000,,,,,,,MVFR,,,,,,,,,,,,METAR,302.0
KTKC 270055Z AUTO 18008KT 7SM CLR 07/05 A3011 RMK AO2 T00710054 TSNO,KTKC,2019-03-27T00:55:00Z,44.25,-95.62,7.1,5.4,180,8,,7.0,30.109253,,,TRUE,TRUE,,,TRUE,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,408.0
KJYM 270055Z AUTO 16003KT 10SM CLR 03/M13 A3036 RMK AO2 T00291128,KJYM,2019-03-27T00:55:00Z,41.92,-84.58,2.9,-12.8,160,3,,10.0,30.360237,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,360.0
KJKJ 270055Z AUTO 15010KT 10SM OVC017 02/01 A3005 RMK AO2,KJKJ,2019-03-27T00:55:00Z,46.83,-96.67,2.0,1.0,150,10,,10.0,30.050198,,,TRUE,TRUE,,,,,,,OVC,1700,,,,,,,MVFR,,,,,,,,,,,,METAR,280.0
